"","X","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"795","964",2008,"WRITING","Atonement","False",2007,"Drama","Mystery","Romance",7.8,"50927067",123
"796","967",2008,"WRITING","The Diving Bell and the Butterfly","False",2007,"Biography","Drama",NA,8,"5990075",112
"797","968",2008,"WRITING","No Country for Old Men","True",2007,"Crime","Drama","Thriller",8.2,"74283625",122
"798","970",2008,"WRITING","Lars and the Real Girl","False",2007,"Comedy","Drama","Romance",7.3,"5972884",106
"799","971",2008,"WRITING","Michael Clayton","False",2007,"Crime","Drama","Mystery",7.2,"49033882",119
"800","974",2008,"WRITING","Ratatouille","False",2007,"Animation","Adventure","Comedy",8.1,"206445654",111
"801","1811",2008,"WRITING","Away from Her","False",2007,"Drama","Romance",NA,NA,NA,110
"802","182",2008,"WRITING","There Will Be Blood","False",2007,"Drama",NA,NA,NA,"2.5e+07",158
"803","1831",2008,"WRITING","Juno","True",2007,"Comedy","Drama","Romance",NA,"7500000",96
"804","1841",2008,"WRITING","The Savages","False",2007,"Drama",NA,NA,NA,NA,114
"805","978",2009,"ANIMATED FEATURE FILM","Bolt","False",2008,"Animation","Adventure","Comedy",6.8,"114053579",96
"806","983",2009,"ANIMATED FEATURE FILM","Kung Fu Panda","False",2008,"Animation","Action","Adventure",7.6,"215434591",92
"807","701",2009,"ANIMATED FEATURE FILM","WALL-E","True",NA,NA,NA,NA,NA,NA,NA
"808","996",2009,"BEST PICTURE","The Curious Case of Benjamin Button","False",2008,"Drama","Fantasy","Romance",7.8,"127509326",166
"809","998",2009,"BEST PICTURE","Frost/Nixon","False",2008,"Biography","Drama","History",7.7,"18593156",122
"810","1000",2009,"BEST PICTURE","Milk","False",2008,"Biography","Drama","History",7.5,"31841299",128
"811","1002",2009,"BEST PICTURE","The Reader","False",2008,"Drama","Romance",NA,7.6,"34194407",124
"812","1003",2009,"BEST PICTURE","Slumdog Millionaire","True",2008,"Crime","Drama","Romance",8,"141319928",120
"813","988",2009,"INTERNATIONAL FEATURE FILM","The Baader Meinhof Complex","False",2008,"Action","Biography","Crime",7.3,"476270",150
"814","993",2009,"INTERNATIONAL FEATURE FILM","Revanche","False",2008,"Crime","Drama","Romance",7.5,NA,121
"815","185",2009,"INTERNATIONAL FEATURE FILM","The Class","False",2007,"Drama",NA,NA,NA,"145625",99
"816","186",2009,"INTERNATIONAL FEATURE FILM","The Class","False",2008,"Drama",NA,NA,NA,NA,128
"817","1871",2009,"INTERNATIONAL FEATURE FILM","Departures","True",2008,"Drama",NA,NA,NA,NA,130
"818","188",2009,"INTERNATIONAL FEATURE FILM","Waltz with Bashir","False",2007,"Drama","Animation","War",NA,"2e+06",90
"819","1005",2009,"WRITING","The Curious Case of Benjamin Button","False",2008,"Drama","Fantasy","Romance",7.8,"127509326",166
"820","1007",2009,"WRITING","Doubt","False",2008,"Drama","Mystery",NA,7.5,"33422556",104
"821","1008",2009,"WRITING","Frost/Nixon","False",2008,"Biography","Drama","History",7.7,"18593156",122
"822","1010",2009,"WRITING","The Reader","False",2008,"Drama","Romance",NA,7.6,"34194407",124
"823","1011",2009,"WRITING","Slumdog Millionaire","True",2008,"Crime","Drama","Romance",8,"141319928",120
"824","1013",2009,"WRITING","Frozen River","False",2008,"Crime","Drama",NA,7.1,"2508841",97
"825","1014",2009,"WRITING","Happy-Go-Lucky","False",2008,"Comedy","Drama","Romance",7,"3494485",118
"826","1015",2009,"WRITING","In Bruges","False",2008,"Comedy","Crime","Drama",7.9,"7757130",107
"827","1017",2009,"WRITING","Milk","True",2008,"Biography","Drama","History",7.5,"31841299",128
"828","714",2009,"WRITING","WALL-E","False",NA,NA,NA,NA,NA,NA,NA
"829","1019",2010,"ANIMATED FEATURE FILM","Coraline","False",2009,"Animation","Drama","Family",7.7,"75286229",100
"830","1023",2010,"ANIMATED FEATURE FILM","Fantastic Mr. Fox","False",2009,"Animation","Adventure","Comedy",7.9,"21002919",87
"831","1027",2010,"ANIMATED FEATURE FILM","The Princess and the Frog","False",2009,"Animation","Adventure","Comedy",7.1,"104400899",97
"832","1032",2010,"ANIMATED FEATURE FILM","The Secret of Kells","False",2009,"Animation","Adventure","Family",7.6,"686383",75
"833","1036",2010,"ANIMATED FEATURE FILM","Up","True",2009,"Animation","Adventure","Comedy",8.3,"293004164",96
"834","1046",2010,"BEST PICTURE","Avatar","False",2009,"Action","Adventure","Fantasy",7.9,"760507625",162
"835","1050",2010,"BEST PICTURE","The Blind Side","False",2009,"Biography","Drama","Sport",7.6,"255959475",129
"836","1052",2010,"BEST PICTURE","District 9","False",2009,"Action","Sci-Fi","Thriller",7.9,"115646235",112
"837","1055",2010,"BEST PICTURE","The Hurt Locker","True",2008,"Drama","Thriller","War",7.5,"17017811",131
"838","1057",2010,"BEST PICTURE","Inglourious Basterds","False",2009,"Adventure","Drama","War",8.3,"120540719",153
"839","1059",2010,"BEST PICTURE","Up","False",2009,"Animation","Adventure","Comedy",8.3,"293004164",96
"840","1062",2010,"BEST PICTURE","Up in the Air","False",2009,"Comedy","Drama","Romance",7.4,"83823381",109
"841","1901",2010,"BEST PICTURE","An Education","False",2009,"Drama","Romance",NA,NA,"7500000",100
"842","1911",2010,"BEST PICTURE","A Serious Man","False",2009,"Comedy","Drama",NA,NA,"7e+06",105
"843","724",2010,"BEST PICTURE","Precious: Based on the Novel 'Push' by Sapphire","False",NA,NA,NA,NA,NA,NA,NA
"844","1039",2010,"INTERNATIONAL FEATURE FILM","Ajami","False",2009,"Crime","Drama",NA,7.3,"621240",124
"845","1040",2010,"INTERNATIONAL FEATURE FILM","A Prophet","False",2009,"Crime","Drama",NA,7.8,"2084637",155
"846","1041",2010,"INTERNATIONAL FEATURE FILM","The Secret in Their Eyes","True",2009,"Drama","Mystery","Romance",8.2,"6391436",129
"847","1044",2010,"INTERNATIONAL FEATURE FILM","The White Ribbon","False",2009,"Drama","Mystery","Thriller",7.8,"2222647",144
"848","189",2010,"INTERNATIONAL FEATURE FILM","The Milk of Sorrow","False",2009,"Drama",NA,NA,NA,NA,94
"849","1063",2010,"WRITING","District 9","False",2009,"Action","Sci-Fi","Thriller",7.9,"115646235",112
"850","1066",2010,"WRITING","Up in the Air","False",2009,"Comedy","Drama","Romance",7.4,"83823381",109
"851","1067",2010,"WRITING","The Hurt Locker","True",2008,"Drama","Thriller","War",7.5,"17017811",131
