Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
,,,,,,,,,,,,,,,,,,,,
96,2021-03-28,WCQ,First round,Home,Poland,Andorra,Y*,,,,,55,1-0,Iker Álvarez,Kamil Jóźwiak,,,,,
97,2021-03-28,WCQ,First round,Home,Poland,Andorra,Y*,,,,,30,0-0,Iker Álvarez,Maciej Rybus,,,,,
98,2021-03-25,WCQ,First round,Away,Poland,Hungary,Y*,,,,,83,2-3,Péter Gulácsi,Bartosz Bereszyński,,,,,
,,,,,,,,,,,,,,,,,,,,
99,2021-03-20,Bundesliga,Matchweek 26,Home,Bayern Munich,Stuttgart,Y,0.31,0.63,Left Foot,15,39,3-0,Gregor Kobel,,,,,,
100,2021-03-20,Bundesliga,Matchweek 26,Home,Bayern Munich,Stuttgart,Y,0.29,0.79,Head,10,23,2-0,Gregor Kobel,Thomas Müller,Thomas Müller,Pass (Live),Leroy Sané,Pass (Live),
101,2021-03-20,Bundesliga,Matchweek 26,Home,Bayern Munich,Stuttgart,Y,0.20,0.68,Right Foot,8,17,0-0,Gregor Kobel,Serge Gnabry,Serge Gnabry,Pass (Live),Leroy Sané,Pass (Live),
102,2021-03-17,Champions Lg,Round of 16,Home,Bayern Munich,Lazio,Y,0.79,0.99,Right Foot,13,33,0-0,Pepe Reina,,Leon Goretzka,Fouled,Joshua Kimmich,Pass (Dead),
103,2021-03-13,Bundesliga,Matchweek 25,Away,Bayern Munich,Werder Bremen,Y,0.78,0.90,Right Foot,3,67,2-0,Jiří Pavlenka,,Joshua Kimmich,Pass (Dead),Robert Lewandowski,Shot,
104,2021-03-06,Bundesliga,Matchweek 24,Home,Bayern Munich,Dortmund,Y,0.04,0.34,Right Foot,22,90,3-2,Marwin Hitz,Alphonso Davies,Alphonso Davies,Pass (Live),Robert Lewandowski,Pass (Live),
105,2021-03-06,Bundesliga,Matchweek 24,Home,Bayern Munich,Dortmund,Y,0.79,0.99,Right Foot,13,44,1-2,Marwin Hitz,,Kingsley Coman,Fouled,Jérôme Boateng,Pass (Live),
106,2021-03-06,Bundesliga,Matchweek 24,Home,Bayern Munich,Dortmund,Y,0.80,0.95,Right Foot,4,26,0-2,Marwin Hitz,Leroy Sané,Leroy Sané,Shot,,,
107,2021-02-27,Bundesliga,Matchweek 23,Home,Bayern Munich,Köln,Y,0.07,0.13,Right Foot,18,65,2-1,Timo Horn,Thomas Müller,Thomas Müller,Pass (Live),Alphonso Davies,Pass (Live),
108,2021-02-27,Bundesliga,Matchweek 23,Home,Bayern Munich,Köln,Y,0.26,0.58,Right Foot,13,33,1-0,Timo Horn,Leon Goretzka,Leon Goretzka,Pass (Live),Leon Goretzka,Take-On,
109,2021-02-23,Champions Lg,Round of 16,Away,Bayern Munich,Lazio,Y,0.36,0.43,Left Foot,12,9,0-0,Pepe Reina,,Robert Lewandowski,Take-On,Robert Lewandowski,Interception,
110,2021-02-20,Bundesliga,Matchweek 22,Away,Bayern Munich,Eint Frankfurt,Y,0.66,0.76,Right Foot,6,53,0-2,Kevin Trapp,Leroy Sané,Leroy Sané,Pass (Live),Alphonso Davies,Pass (Live),
111,2021-02-15,Bundesliga,Matchweek 21,Home,Bayern Munich,Arminia,Y,0.13,0.17,Right Foot,9,48,0-2,Stefan Ortega,David Alaba,David Alaba,Pass (Live),Bouna Sarr,Pass (Live),Volley
112,2021-01-30,Bundesliga,Matchweek 19,Home,Bayern Munich,Hoffenheim,Y,0.80,0.96,Right Foot,4,57,2-1,Oliver Baumann,,Joshua Kimmich,Pass (Live),Serge Gnabry,Pass (Live),
113,2021-01-24,Bundesliga,Matchweek 18,Away,Bayern Munich,Schalke 04,Y,0.30,0.51,Right Foot,9,54,1-0,Ralf Fährmann,Joshua Kimmich,Joshua Kimmich,Pass (Live),Jérôme Boateng,Pass (Live),
114,2021-01-20,Bundesliga,Matchweek 17,Away,Bayern Munich,Augsburg,Y,0.79,0.98,Right Foot,13,13,0-0,Rafał Gikiewicz,,Lucas Hernández,Fouled,Serge Gnabry,Pass (Live),
