,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
522,Bridge of Spies,2015,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",Nominee,2015,142,"Drama,History,Thriller",7.6,"298,091","During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan (Tom Hanks), recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel (Mark Rylance), the convicted spy who Donovan defended in court.","Drama, Mystery & Suspense","Bridge of Spies finds new life in Hollywood's classic Cold War espionage thriller formula, thanks to reliably outstanding work from Steven Spielberg and Tom Hanks.",PG-13,Steven Spielberg,"Matthew Charman, Steven Spielberg, Matt Charman, Ethan Coen, Joel Coen","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Noah Schnapp, Scott Shepherd, Sebastian Koch, Domenick Lombardozzi, Dakin Matthews, Peter McRobbie, Eve Hewson, Michael Gaston, Billy Magnussen, Marko Caka, Edward James Hyland, Austin Stowell, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Joshua Harto, Henny Russell, Rebekah Brockman, Jesse Plemons, John Rue, Jillian Lebling, Joel Brady, Michael Pemberton, Geoffrey Rude, Michael Kempen, Stephen Kunken, Jon Curry, Wes McGee, Jim Ferris, Lucia Ryan, Nolan Lyons, Hayley Feinstein, Andy Schneeflock, Victoria Leigh, Sawyer Barth, Ashlie Atkinson, Hayley Rawson, Laurie Dawn, James Lorinz, Patricia Squire, Mario Corry, Donavon Dietz, Le Chance DuRand, Mike Houston, Joe Starr, Hamilton Clancy, Jonathan Walker, Greg Nutcher, John Taylor, Tracy Howe, Steven Boyer, John Henry Cox, Mark Zak, Victor Schefe, Will Rogers (IV), Daniela Schulz, Moritz Berg, Emma Nazahn, Matthias Scherwenikas, Greta Galisch DePalma, Matilda Palma Galisch, Nadja Bobyleva, Kai Wido Meyer, Kristoffer Fuss, Thomas Hacikoglu, David Wilson Barnes, Joe Forbrich, Henning Bormann, Ketel Weber, Maik Rogge, Tim Morten Uhlenbrock, Mathias Gartner, Rafael Gareisen, Nico Ehrenteit, Radik Golovkov, Petra Marie Cammin, Lucy Dreznin, Michael Schenk, Mikhail Gorevoy, Wanja Götz, Stefan Langel, Vladimir Vilanov, Ivan Shvedov, Merab Ninidze, Konstantin Frolov, Steve Cirbus, Michael Kranz, Max Kidd, Frederic Heidorn, Nils Malten, Nina Gummich, Burghart Klaussner, Maximilian Mauff, Jon Donahue, Martin D. Dew",2015-10-16,2016-02-23,Dreamworks Pictures,Certified-Fresh,90.0,307.0,Upright,87.0,65466.0,58.0,278.0,30.0,01be4f89-7f33-44b5-84fb-74373c394649
523,Brooklyn,2015,Finola Dwyer and Amanda Posey,Nominee,2015,117,"Drama,Romance",7.5,"135,972","Young Irish immigrant Eilis Lace (Saoirse Ronan) navigates her way through 1950s Brooklyn. Lured by the promise of America, Eilis departs Ireland and the comfort of her mother's home for the shores of New York City. The initial shackles of homesickness quickly diminish as a fresh romance sweeps Eilis into the intoxicating charm of love. But soon, her past disrupts her new vivacity, and Eilis must choose between two countries and the lives that exist within.",Drama,Brooklyn buttresses outstanding performances from Saoirse Ronan and Emory Cohen with a rich period drama that tugs at the heartstrings as deftly as it satisfies the mind.,PG-13,John Crowley,Nick Hornby,"Saoirse Ronan, Domhnall Gleeson, Emory Cohen, Eileen O'Higgins, Julie Walters, Jim Broadbent, Brid Brennan, Mary O'Driscoll, Michael Zegen, Paulino Nunes, Matt Glynn, Maeve McGrath, Emma Lowe, Barbara Drennan, Gillian McCarthy, Fiona Glascott, Jane Brennan, Peter Campion, Eva Birthistle, James Corscadden, Emily Bett Rickards, Eve Macklin, Nora-Jane Noone, Samantha Munro, Jane Wheeler, Jessica Paré, Adrien Benn, Al Goulem, Max Walker, Iarla O'Lionaird, Jenn Murray, Ellis Rockburn, Erika Rosenbaum, Ellen David, Christian de la Cortina, James DiGiacomo, Paul Stewart, Tadhg McMahon, Hudson LeBlanc, Niamh McCann, Denis Conway, Karen Ardiff, Niamh-Anne McCann, Gary Lydon, Aine Ni Mhuiri, Mella Carron, Nick Ingman, Hugh Gormley",2015-11-04,2016-02-23,Fox Searchlight Pictures,Certified-Fresh,97.0,269.0,Upright,87.0,46857.0,51.0,261.0,8.0,f95ccdec-05e4-4df6-896c-24ffd29e32cb
524,Mad Max: Fury Road,2015,Doug Mitchell and George Miller,Nominee,2015,120,"Action,Adventure,Sci-Fi",8.1,"922,840","Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When the warrior Imperator Furiosa (Charlize Theron) leads the despot's five wives in a daring escape, she forges an alliance with Max Rockatansky (Tom Hardy), a loner and former captive. Fortified in the massive, armored truck the War Rig, they try to outrun the ruthless warlord and his henchmen in a deadly high-speed chase through the Wasteland.","Action & Adventure, Science Fiction & Fantasy","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",R,George Miller,"Brendan McCarthy, Nick Lathouris, George Miller","Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley, Zoë Kravitz, Riley Keough, Abbey Lee, Courtney Eaton, John Howard (II), Coco Jack Gillies, Greg van Borssum, Richard Carter, iOTA, Jennifer Hagan, Melissa Jaffer (II), Melita Jurisic, Gillian Jones, Joy Smithers, Antoinette Kellermann, Christina Koch, Quentin Kenihan, Chris Patton, Steve Dunleavy, Elizabeth Cunico, Sebastian Dickins, Darren Mitchell, Crusoe Kurddal, Adelaide Clemens, Hugh Keays-Byrne, Nathan Jones, Megan Gale, Josh Helman, Richard Norton, Debra Ades, Angus Sampson, Teresa Palmer",2015-05-15,2016-08-10,Warner Bros.,Certified-Fresh,97.0,422.0,Upright,85.0,128344.0,59.0,408.0,14.0,79fc5e5f-e53f-4bd2-8a92-154268114f49
525,The Martian,2015,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",Nominee,2015,144,"Adventure,Drama,Sci-Fi",8.0,"791,919","When astronauts blast off from the planet Mars, they leave behind Mark Watney (Matt Damon), presumed dead after a fierce storm. With only a meager amount of supplies, the stranded visitor must utilize his wits and spirit to find a way to survive on the hostile planet. Meanwhile, back on Earth, members of NASA and a team of international scientists work tirelessly to bring him home, while his crew mates hatch their own plan for a daring rescue mission.",Science Fiction & Fantasy,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",PG-13,Ridley Scott,"Ridley Scott, Drew Goddard","Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña, Kate Mara, Sean Bean, Sebastian Stan, Aksel Hennie, Donald Glover, Mackenzie Davis, Chiwetel Ejiofor, Nick Mohammed, Shu Chen (II), Eddy Ko, Enzo Cilenti, Jonathan Aris, Gruffudd Glyn, Naomi Scott, Geoffrey Thomas, Benedict Wong, Narantsogt Tsogtsaikhan, Brian Caspe, Matt Devere, Szonja Oroszlán, Greg Decuir, Jr., Mark O'Neal, Peter Linka, Declan Hannigan, Peter Schueller, Waleska Latorre, Frederik Pleitgen, Nikolett Barabas, Karen Gagnon, Lili Bordán, Charlie Gardner, Nora Horich, Kamilla Fátyol, Xue Xuxing, Richard B. Rifkin, Yang Liu, Ben O'Brien, Balazas Medveczky, Scott Alexander Young, Yang Haiwen, Nicholas Wittman",2015-10-02,2015-12-22,20th Century Fox,Certified-Fresh,91.0,374.0,Upright,91.0,131656.0,60.0,340.0,34.0,72011778-43b2-4b5f-99e9-49226a306a20
526,The Revenant,2015,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon",Nominee,2015,156,"Action,Adventure,Drama",8.0,"738,208","While exploring the uncharted wilderness in 1823, frontiersman Hugh Glass (Leonardo DiCaprio) sustains life-threatening injuries from a brutal bear attack. When a member (Tom Hardy) of his hunting team kills his young son (Forrest Goodluck) and leaves him for dead, Glass must utilize his survival skills to find a way back to civilization. Grief-stricken and fueled by vengeance, the legendary fur trapper treks through the snowy terrain to track down the man who betrayed him.","Action & Adventure, Drama","As starkly beautiful as it is harshly uncompromising, The Revenant uses Leonardo DiCaprio's committed performance as fuel for an absorbing drama that offers punishing challenges -- and rich rewards.",R,"Alejandro González Iñárritu, Manny Palo","Mark L. Smith, Alejandro González Iñárritu","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson, Lukas Haas, Melaw Nakehk'o, Brad Carter, Brendan Fletcher, Kristoffer Joner, Grace Dove Syme, Kory Grim, Dave Burchill, Robert Moloney, Christopher Rosamund, Vincent Leclerc, Joshua Burge, Christopher Rosamond, Chris Ippolito, Mark Krysko, McCaleb Burnett, Duane Howard, Fabrice Adde, Arthur Redcloud, Tyson Wood, Stephane Legault, Amelia Crow Shoe, Emmanuel Bilodeau, Peter Strand Rumple, Cole Vandale, Tom Guiry, Scott Olynek, Timothy Lyle, Jamie Medicine Crane, Veronica Marlowe, Chesley Wilson, Clarence Hoof, Adrian McMorran, Alexandre Bisping, Dion Little Child, C. Adam Leigh, Blake Wildcat, Javiar Lopez, Paul Young Pine, Cody Big Tobacco, Haysam Kadri, Dallas Young Pine, Anthony Starlight, Michael Fraser, Scott Duncan, Mariah Old Shoes, Isaiah Tootoosis, Jeffrey Olynek, Kevin Corey, Daniel Rampanen, Jordan Crawford, Gerald Anderson, Julia Montes, Edu Manzano, Ina Raymundo, Boboy Garovillo, Yayo Aguila, Jett Pangan, Melissa Mendez",2015-12-25,2016-03-22,20th Century Fox,Certified-Fresh,78.0,397.0,Upright,84.0,105270.0,53.0,311.0,86.0,afc8d345-abee-4a78-bbf1-1d2271319e41
527,Room,2015,Ed Guiney,Nominee,2015,118,"Drama,Thriller",8.1,"391,182","Held captive for years in an enclosed space, a woman (Brie Larson) and her young son (Jacob Tremblay) finally gain their freedom, allowing the boy to experience the outside world for the first time.",Drama,"Led by incredible work from Brie Larson and Jacob Tremblay, Room makes for an unforgettably harrowing -- and undeniably rewarding -- experience.",R,Lenny Abrahamson,Emma Donoghue,"Brie Larson, Jacob Tremblay, Joan Allen, William H. Macy, Sean Bridgers, Tom McCamus, Amanda Brugel, Cas Anvar, Joe Pingue, Wendy Crewson, Sandy McMaster, Matt Gordon, Zarrin Darnell-Martin, Jee-Yun Lee, Randall Edwards, Justin Mader, Ola Sturik, Rodrigo Fernandez-Stoll, Rory O'Shea, Kate Drummond, Jack Fulton, Chantelle Chung",2015-10-16,2016-05-22,Element Pictures,Certified-Fresh,93.0,312.0,Upright,93.0,49668.0,55.0,292.0,21.0,711a0fe6-003c-4234-b1e1-c192f2d7ab44
528,Moonlight,2016,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",Winner,2016,111,Drama,7.4,"287,563","A look at three defining chapters in the life of Chiron, a young black man growing up in Miami. His epic journey to manhood is guided by the kindness, support and love of the community that helps raise him.",Drama,Moonlight uses one man's story to offer a remarkable and brilliantly crafted look at lives too rarely seen in cinema.,R,Barry Jenkins (III),Barry Jenkins (III),"Naomie Harris, André Holland, Mahershala Ali, Janelle Monáe, Trevante Rhodes, Ashton Sanders, Jharrel Jerome",2016-10-21,2017-02-21,A24 Films,Certified-Fresh,98.0,384.0,Upright,79.0,45533.0,63.0,378.0,7.0,194103bc-9dbe-4396-ad61-8370f887ce45
529,Arrival,2016,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",Nominee,2016,116,"Drama,Sci-Fi",7.9,"629,568","Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,PG-13,Denis Villeneuve,Eric Heisserer,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien (IX), Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Lucas Chartier-Dessert, Christian Jadah, Lucy van Oldenbarneveld, Andrew Shaver, Pat Kiely, Sonia Vigneault, Mark Camacho, Sabrina Reeves, Julian Casey, Tony Robinow, Larry Day, Matthew Willson, Ruth Chiang, Russell Yuen, Sergey Marchenko, Anana Rydvald, Bineyam Girma, Abdelghafour Elaaziz, Abdul Ayoola, Alex M. Yeuh, Daniel Esteban, Albert Kwan, Brittany Teo, Joe Cobden, Lorne Brass, Genevieve Sirois, Victor Andres Turgeon-Trelles, Michael Nangreaves, Reda Guerinik, Adrien Benn, Sasha Samar, Kathleen Stavert, Kattia Thony, Leisa Reid, Brent Skagford, Gurdeep Ahluwalia, Shawn Campbell, Brian Dunstan, Dan Duran, Lori Graham, Orla Johannes, John Moore, Sangita Patel, Hal Roberts, Camille Ross, Ola Sturik, Tammie Sutherland, Max Walker, Marc-André Goulet, Paul-Antoine Taillefer, Martin Pelletier Jr., Martin Pelletier Jr.",2016-11-11,2017-01-31,21 Laps Entertainment,Certified-Fresh,94.0,426.0,Upright,82.0,83315.0,59.0,402.0,24.0,0e1f47b6-3fda-45b5-ae50-3b0077b16360
530,Fences,2016,"Scott Rudin, Denzel Washington, and Todd Black",Nominee,2016,139,Drama,7.2,"102,639","Troy Maxson (Denzel Washington) makes his living as a sanitation worker in 1950s Pittsburgh. Maxson once dreamed of becoming a professional baseball player, but was deemed too old when the major leagues began admitting black athletes. Bitter over his missed opportunity, Troy creates further tension in his family when he squashes his son's (Jovan Adepo) chance to meet a college football recruiter.",Drama,"From its reunited Broadway stars to its screenplay, the solidly crafted Fences finds its Pulitzer-winning source material fundamentally unchanged -- and still just as powerful.",PG-13,Denzel Washington,August Wilson,"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Mykelti Williamson, Russell Hornsby, Jovan Adepo, Christopher Mele, Lesley Boone, Jason Silvis, Toussaint Raphael Abessolo, Theresa Cook, Dontez James, Malik Abdul Khaaliq, Aristle Jones, IV, Tra'Waan Coles, Chris McCail, Kameron Peters, Joshua Tronoski",2016-12-25,2017-02-24,Paramount Pictures,Certified-Fresh,92.0,265.0,Upright,75.0,36228.0,54.0,243.0,22.0,27beb229-8515-4657-8a03-873b287d29f2
531,Hacksaw Ridge,2016,Bill Mechanic and David Permut,Nominee,2016,139,"Biography,Drama,History",8.1,"464,504","The true story of Pfc. Desmond T. Doss (Andrew Garfield), who won the Congressional Medal of Honor despite refusing to bear arms during WWII on religious grounds. Doss was drafted and ostracized by fellow soldiers for his pacifist stance but went on to earn respect and adoration for his bravery, selflessness and compassion after he risked his life -- without firing a shot -- to save 75 men in the Battle of Okinawa.","Action & Adventure, Drama","Hacksaw Ridge uses a real-life pacifist's legacy to lay the groundwork for a gripping wartime tribute to faith, valor, and the courage of remaining true to one's convictions.",R,Mel Gibson,"Andrew Knight, Robert Schenkkan","Andrew Garfield, Teresa Palmer, Hugo Weaving, Luke Bracey, Sam Worthington, Vince Vaughn, Rachel Griffiths, Nathaniel Buzolic, Richard Roxburgh, Matt Nable, Firass Dirani, Richard Pyros, Jacob Warner (III), Milo Gibson, Darcy Bryce, Roman Guerriero, Michael Sheasby, Jarin Towney, Luke Pegler, Tim McGarry, Ben Mingay, Nico Cortez, Goran D. Kleut, Richard Pratt, Laura Buckton, Harry Greenwood, Damien Thomlinson, Simon Edds, Bill Young, Thatcher McMaster, Charles Jacobs, Dennis Kreusler, Andrew Sears, Jim Robinson, Nathan Baird, Sam E. Wright, Mikael Koski, Troy Pickering, James Moffett, Josh Dean Williams, Andrew Hansch, John Cannon, Georgia Adamson, Craig Reeves, Adrian Twigg, Sean Lynch, Luke McMahon, Bill Thompson, Kazuaki Ono, Eric Taugherbeck, Hayden Geens, Edward Ned Law, Kazuki Yuyama, Daisuka Takeda, Raphael Dubois, Tim Potter, Santo Tripodi, Lawrence Brewer, John Batziolas, Nobuaki Shimamoto, Hiroshi Kasuga (II), Ryuzaburo Naruse, Adam Bowes, Michael Hennessy, Benjamin McCann, Yukihiro Nagashima, Takehiro Abe, Daniel Thone, Nathan Halls, Nicholas Cowey, Charles Upton, Toshiyuki Teramoto, Honsen Haga",2016-11-04,2017-02-07,Summit Entertainment,Certified-Fresh,84.0,277.0,Upright,91.0,55594.0,54.0,235.0,43.0,47d27cf4-2241-42eb-8776-d45b8f1a19ce
532,Hell or High Water,2016,Carla Hacken and Julie Yorn,Nominee,2016,102,"Action,Crime,Drama",7.6,"213,325","Toby is a divorced father who's trying to make a better life for his son. His brother Tanner is an ex-convict with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch. Standing in their way is Marcus, a Texas Ranger who's only weeks away from retirement. As the siblings plot their final robbery, they must also prepare for a showdown with a crafty lawman who's not ready to ride off into the sunset.","Drama, Mystery & Suspense","Hell or High Water offers a solidly crafted, well-acted Western heist thriller that eschews mindless gunplay in favor of confident pacing and full-bodied characters.",R,David Mackenzie,Taylor Sheridan,"Dale Dickey, Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham, Katy Mixon, William Sterchi, Buck Taylor, Kristin Berg, Keith Meriweather, Jackamoe Buzzell, Amber Midthunder, Joe Berryman, Taylor Sheridan, Debrianna Mansini, Nathaniel Augustson, Arielle Holmes, Marie A.K. McMaster, Jim Burleson, Gregory Cruz, Melanie Papalia, Kim Gleason, Alma Sisneros, Kevin Rankin, Margaret Bowman, Ivan Brutsche, Marin Ireland, JP Howard, Dylan Kenin, Martin Palmer, Danny Winn, Terry Dale Parks, John Paul Howard",2016-08-12,2016-11-08,Film 44,Certified-Fresh,97.0,280.0,Upright,88.0,40088.0,54.0,272.0,8.0,fba9e12d-e725-4711-a502-2e369e554591
533,Hidden Figures,2016,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",Nominee,2016,127,"Biography,Drama,History",7.8,"211,233",,,,,,,,,,,,,,,,,,,,3bfde6b3-4e9d-4411-a051-00eb89105a84
534,La La Land,2016,"Fred Berger, Jordan Horowitz, and Marc Platt",Nominee,2016,128,"Comedy,Drama,Music",8.0,"534,405","Sebastian (Ryan Gosling) and Mia (Emma Stone) are drawn together by their common desire to do what they love. But as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.","Comedy, Drama, Musical & Performing Arts","La La Land breathes new life into a bygone genre with thrillingly assured direction, powerful performances, and an irresistible excess of heart.",PG-13,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, J.K. Simmons, Rosemarie DeWitt, Finn Wittrock, Callie Hernandez, Sonoya Mizuno, Jessica Rothe, Tom Everett Scott, Josh Pence, Amiée Conn, Terry Walters, Claudine Claudio, Thom Shelton, Jason Fuchs, Cinda Adams, Olivia Hamilton, Anna Chazelle, D.A. Wallach, Damon Gupton, Christopher Michael Stevens, R. Keith Harris, Kaveh Rastegar, David Douglas, Nicole Coulon, Miles Anderson, John Hindman, Valarie Rae Miller, Zoe Hall, Shaylah J. Stevens, Natalie Imani, Briana Lee, Bobo Chang, Robert Haynes, Nicole Wolf, Corrin Evans, Camryn Ray Cavaliero, Eddie Clifton, Cal Bennett, Nerda Wheeler, Javier González, Khirye Tyler, Arthur Horowitz",2016-12-09,2017-04-11,Liongate Films,Certified-Fresh,91.0,458.0,Upright,81.0,71314.0,66.0,415.0,43.0,dd2fa2f2-4cbe-4fbe-888c-5cea6773809b
535,Lion,2016,"Emile Sherman, Iain Canning, and Angie Fielder",Nominee,2016,118,"Biography,Drama",8.0,"223,804","Five year old Saroo gets lost on a train which takes him thousands of miles across India, away from home and family. Saroo must learn to survive alone in Kolkata, before ultimately being adopted by an Australian couple. Twenty-five years later, armed with only a handful of memories, his unwavering determination, and a revolutionary technology known as Google Earth, he sets out to find his lost family and finally return to his first home.",Drama,Lion's undeniably uplifting story and talented cast make it a moving journey that transcends the typical cliches of its genre.,PG-13,Garth Davis,"Saroo Brierley, Luke Davies","Dev Patel, Rooney Mara, Nicole Kidman, David Wenham, Sunny Pawar, Abhishek Bharate, Priyanka Bose, Tannishtha Chatterjee, Nawazuddin Siddiqui, Deepti Naval, Divian Ladwa, Daniela Farinacci, Sachin Joab, Pallavi Sharda, Arka Das, Riddhi Sen",2016-11-25,2017-04-01,See-Saw Films,Certified-Fresh,84.0,264.0,Upright,91.0,39787.0,49.0,223.0,41.0,6f62117a-ca4b-4f26-8b4d-bcff6d3ed0e8
536,Manchester by the Sea,2016,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",Nominee,2016,137,Drama,7.8,"260,159","After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole guardian of his teenage nephew Patrick. Taking leave of his job as a janitor in Boston, Lee reluctantly returns to Manchester-by-the-Sea, the fishing village where his working-class family has lived for generations. There, he is forced to deal with a past that separated him from his wife, Randi (Michelle Williams), and the community where he was born and raised.",Drama,"Manchester by the Sea delivers affecting drama populated by full-bodied characters, marking another strong step forward for writer-director Kenneth Lonergan.",R,Kenneth Lonergan,Kenneth Lonergan,"Casey Affleck, Kyle Chandler, Lucas Hedges, Gretchen Mol, Josh Hamilton, C.J. Wilson, Kara Hayward, Matthew Broderick, Tate Donovan, Paul Meredith",2016-12-16,2017-02-07,Roadside Attractions ,Certified-Fresh,96.0,347.0,Upright,78.0,50194.0,52.0,333.0,14.0,2d5bd667-6a86-4737-a069-3d875a29941b
537,The Shape of Water,2017,Guillermo del Toro and J. Miles Dale,Winner,2017,123,"Adventure,Drama,Fantasy",7.3,"391,523","Elisa is a mute, isolated woman who works as a cleaning lady in a hidden, high-security government laboratory in 1962 Baltimore. Her life changes forever when she discovers the lab's classified secret -- a mysterious, scaled creature from South America that lives in a water tank. As Elisa develops a unique bond with her new friend, she soon learns that its fate and very survival lies in the hands of a hostile government agent and a marine biologist.","Drama, Science Fiction & Fantasy, Romance",The Shape of Water finds Guillermo del Toro at his visually distinctive best -- and matched by an emotionally absorbing story brought to life by a stellar Sally Hawkins performance.,R,Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Michael Shannon, Richard Jenkins, Doug Jones, Michael Stuhlbarg, Octavia Spencer, Lauren Lee Smith, David Hewlett, Nick Searcy, Stewart Arnott, Nigel Bennett, Martin Roach, Allegra Fulton, John Kapelos, Morgan Kelly, Marvin Kaye, Dru Viergever, Wendy Lyon, Cody Parrish Thompson, Diego Fuentes",2017-12-22,2018-02-23,Fox Searchlight Pictures,Certified-Fresh,92.0,448.0,Upright,72.0,25784.0,59.0,414.0,34.0,05e574cc-0583-419f-9300-257cf0c4d110
538,Call Me by Your Name,2017,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",Nominee,2017,132,"Drama,Romance",7.9,"234,177",,,,,,,,,,,,,,,,,,,,324af136-4644-43f4-9302-000013843ec9
539,Darkest Hour,2017,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",Nominee,2017,125,"Biography,Drama,History",7.4,"184,502","The fate of Western Europe hangs on Winston Churchill in the early days of World War II. The newly appointed British prime minister must decide whether to negotiate with Hitler or fight on against incredible odds. During the next four weeks in 1940, Churchill cements his legacy as his courageous decisions and leadership help change the course of world history.",Drama,"Darkest Hour is held together by Gary Oldman's electrifying performance, which brings Winston Churchill to life even when the movie's narrative falters.",PG-13,Joe Wright,Anthony McCarten,"Gary Oldman, Kristin Scott Thomas, Stephen Dillane, Ronald Pickup, Ben Mendelsohn, Lily James",2017-12-22,2018-02-06,Focus Features,Certified-Fresh,84.0,312.0,Upright,82.0,14004.0,52.0,262.0,51.0,097298e3-0a4c-42c9-b295-f7db341d29a0
540,Dunkirk,2017,Emma Thomas and Christopher Nolan,Nominee,2017,106,"Action,Drama,History",7.8,"591,901","In May 1940, Germany advanced into France, trapping Allied troops on the beaches of Dunkirk. Under air and ground cover from British and French forces, troops were slowly and methodically evacuated from the beach using every serviceable naval and civilian vessel that could be found. At the end of this heroic mission, 330,000 French, British, Belgian and Dutch soldiers were safely evacuated.","Action & Adventure, Drama","Dunkirk serves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story.",PG-13,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles, Aneurin Barnard, James D'Arcy, Barry Keoghan, Kenneth Branagh, Cillian Murphy, Mark Rylance, Tom Hardy",2017-07-21,2017-12-12,Warner Bros. Pictures,Certified-Fresh,92.0,453.0,Upright,81.0,68676.0,61.0,419.0,34.0,d4bf0919-c2bd-4ab7-9b6f-ad4881444173
541,Get Out,2017,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",Nominee,2017,104,"Horror,Mystery,Thriller",7.7,"526,587","Now that Chris (Daniel Kaluuya) and his girlfriend, Rose (Allison Williams), have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway upstate with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Horror, Mystery & Suspense","Funny, scary, and thought-provoking, Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.",R,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield, Stephen Root, Ashley LeConte Campbell, John Wilmot, Lil Rel Howery",2017-02-24,2017-05-09,Universal Pictures,Certified-Fresh,98.0,386.0,Upright,86.0,75461.0,63.0,380.0,7.0,bdea345b-3abf-4be0-927e-6dd11c3718bd
542,Lady Bird,2017,"Scott Rudin, Eli Bush, and Evelyn O'Neill",Nominee,2017,94,"Comedy,Drama",7.4,"258,867",A teenager (Saoirse Ronan) navigates a loving but turbulent relationship with her strong-willed mother (Laurie Metcalf) over the course of an eventful and poignant senior year of high school.,"Comedy, Drama",Lady Bird delivers fresh insights about the turmoil of adolescence -- and reveals writer-director Greta Gerwig as a fully formed filmmaking talent.,R,Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen McKinley Henderson, Odeya Rush, Jordan Rodrigues, Marielle Scott, Monique Edwards",2017-11-03,2018-02-13,A24,Certified-Fresh,99.0,391.0,Upright,79.0,22610.0,56.0,388.0,4.0,fcda8ae3-1d27-4d2d-83c2-e9804ad6bcd7
543,Phantom Thread,2017,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",Nominee,2017,130,"Drama,Romance",7.5,"119,413",,,,,,,,,,,,,,,,,,,,daf77b01-c9e3-4bfa-8a6d-57e07ba4c5ad
