Season,Episode,Rating,Title,Directed_by,Written_by,Viewers
26,13,6.2,The Simpsons,NaN,NaN,87800
26,14,6.6,The Simpsons,NaN,NaN,86400
26,15,6.4,The Simpsons,NaN,NaN,89200
26,16,6.7,The Simpsons,NaN,NaN,90400
26,17,6.6,The Simpsons,NaN,NaN,86900
26,18,6.6,The Simpsons,NaN,NaN,82500
26,19,6.7,The Simpsons,NaN,NaN,83600
26,20,6,The Simpsons,NaN,NaN,81900
26,21,6.5,The Simpsons,NaN,NaN,83500
26,22,6.7,The Simpsons,NaN,NaN,87600
27,1,5.7,The Simpsons,NaN,NaN,119500
27,2,6.5,The Simpsons,NaN,NaN,99600
27,3,6.9,The Simpsons,NaN,NaN,96700
27,4,7.5,The Simpsons,NaN,NaN,133800
27,5,6.5,The Simpsons,NaN,NaN,106800
27,6,6.6,The Simpsons,NaN,NaN,86700
27,7,5.9,The Simpsons,NaN,NaN,87300
27,8,6.7,The Simpsons,NaN,NaN,85400
27,9,8.4,The Simpsons,NaN,NaN,192500
27,10,6.6,The Simpsons,NaN,NaN,94900
27,11,6.5,The Simpsons,NaN,NaN,88200
27,12,6.5,The Simpsons,NaN,NaN,83500
27,13,6.3,The Simpsons,NaN,NaN,79200
27,14,6.5,The Simpsons,NaN,NaN,90500
27,15,6.3,The Simpsons,NaN,NaN,81500
27,16,7,The Simpsons,NaN,NaN,86600
27,17,6.3,The Simpsons,NaN,NaN,79100
27,18,6.2,The Simpsons,NaN,NaN,75400
27,19,7.1,The Simpsons,NaN,NaN,86000
27,20,6.7,The Simpsons,NaN,NaN,74800
27,21,6.2,The Simpsons,NaN,NaN,77400
27,22,6.6,The Simpsons,NaN,NaN,79500
28,1,6,The Simpsons,NaN,NaN,89600
28,2,6.6,The Simpsons,NaN,NaN,83500
28,3,7,The Simpsons,NaN,NaN,94100
28,4,6.8,The Simpsons,NaN,NaN,103800
28,5,6.3,The Simpsons,NaN,NaN,77500
28,6,6.6,The Simpsons,NaN,NaN,77900
28,7,6.2,The Simpsons,NaN,NaN,76600
28,8,6.5,The Simpsons,NaN,NaN,74300
28,9,6.3,The Simpsons,NaN,NaN,70400
28,10,5.9,The Simpsons,NaN,NaN,75900
28,11,6.7,The Simpsons,NaN,NaN,75800
28,12,6.1,The Simpsons,NaN,NaN,93700
28,13,6.3,The Simpsons,NaN,NaN,72800
28,14,6.4,The Simpsons,NaN,NaN,72400
28,15,6.5,The Simpsons,NaN,NaN,72400
28,16,6.5,The Simpsons,NaN,NaN,76800
28,17,6.8,The Simpsons,NaN,NaN,73900
28,18,6.1,The Simpsons,NaN,NaN,76200
28,19,6.8,The Simpsons,NaN,NaN,73600
28,20,6.1,The Simpsons,NaN,NaN,68100
28,21,6.4,The Simpsons,NaN,NaN,69000
29,1,6.8,The Simpsons,NaN,NaN,114100
29,2,6.5,The Simpsons,NaN,NaN,90300
29,3,6.1,The Simpsons,NaN,NaN,81000
29,4,7,The Simpsons,NaN,NaN,111400
29,5,6.3,The Simpsons,NaN,NaN,77400
29,6,6.3,The Simpsons,NaN,NaN,78000
29,7,6.4,The Simpsons,NaN,NaN,77100
29,8,6.8,The Simpsons,NaN,NaN,85300
29,9,7.1,The Simpsons,NaN,NaN,91900
29,10,6.4,The Simpsons,NaN,NaN,80500
29,11,6.2,The Simpsons,NaN,NaN,72400
29,12,6.6,The Simpsons,NaN,NaN,78400
29,13,6.5,The Simpsons,NaN,NaN,71600
29,14,6,The Simpsons,NaN,NaN,67900
29,15,6.2,The Simpsons,NaN,NaN,69600
29,16,6.2,The Simpsons,NaN,NaN,66000
29,17,6.6,The Simpsons,NaN,NaN,74300
29,18,7,The Simpsons,NaN,NaN,74100
29,19,6.6,The Simpsons,NaN,NaN,68900
29,20,6.6,The Simpsons,NaN,NaN,76000
29,21,7.5,The Simpsons,NaN,NaN,102600
30,1,6.2,The Simpsons,NaN,NaN,96700
30,2,6,The Simpsons,NaN,NaN,86300
30,3,6.2,The Simpsons,NaN,NaN,82600
30,4,5.9,The Simpsons,NaN,NaN,94500
30,5,6.9,The Simpsons,NaN,NaN,77500
30,6,6.5,The Simpsons,NaN,NaN,72900
30,7,5.7,The Simpsons,NaN,NaN,86400
30,8,6.4,The Simpsons,NaN,NaN,70200
30,9,6.7,The Simpsons,NaN,NaN,70800
30,10,6.7,The Simpsons,NaN,NaN,70200
30,11,5.8,The Simpsons,NaN,NaN,82300
30,12,6.4,The Simpsons,NaN,NaN,72700
30,13,6.8,The Simpsons,NaN,NaN,70400
30,14,6.2,The Simpsons,NaN,NaN,65200
30,15,6.4,The Simpsons,NaN,NaN,60900
30,16,5.8,The Simpsons,NaN,NaN,62800
30,17,6.4,The Simpsons,NaN,NaN,68200
30,18,4.9,The Simpsons,NaN,NaN,133400
30,19,6.4,The Simpsons,NaN,NaN,65500
30,20,5.5,The Simpsons,NaN,NaN,66100
30,21,5.7,The Simpsons,NaN,NaN,79200
30,22,6.1,The Simpsons,NaN,NaN,65800
30,23,6.1,The Simpsons,NaN,NaN,62600
31,1,5.9,The Simpsons,NaN,NaN,90700
31,2,5.9,The Simpsons,NaN,NaN,80900
31,3,6.5,The Simpsons,NaN,NaN,71600
31,4,6.8,The Simpsons,NaN,NaN,91000
31,5,6.2,The Simpsons,NaN,NaN,66800
31,6,5.6,The Simpsons,NaN,NaN,74900
31,7,6.5,The Simpsons,NaN,NaN,71200
31,8,7.3,The Simpsons,NaN,NaN,89900
31,9,6.5,The Simpsons,NaN,NaN,79500
31,10,6.5,The Simpsons,NaN,NaN,62900
31,11,6,The Simpsons,NaN,NaN,57200
31,12,6.5,The Simpsons,NaN,NaN,57800
31,13,5.9,The Simpsons,NaN,NaN,55300
31,14,7.2,The Simpsons,NaN,NaN,75500
31,15,6.5,The Simpsons,NaN,NaN,55700
31,16,6.4,The Simpsons,NaN,NaN,53900
31,17,6.9,The Simpsons,NaN,NaN,60900
31,18,6.3,The Simpsons,NaN,NaN,52400
31,19,6,The Simpsons,NaN,NaN,62200
31,20,5.7,The Simpsons,NaN,NaN,58400
31,21,6.5,The Simpsons,NaN,NaN,58600
31,22,7.4,The Simpsons,NaN,NaN,71400
32,1,6.5,The Simpsons,NaN,NaN,74200
32,2,6.8,The Simpsons,NaN,NaN,69600
32,3,5.8,The Simpsons,NaN,NaN,62500
32,4,6.2,The Simpsons,NaN,NaN,90800
32,5,5.7,The Simpsons,NaN,NaN,62100
32,6,6.7,The Simpsons,NaN,NaN,56800
32,7,6.2,The Simpsons,NaN,NaN,52400
32,8,6.6,The Simpsons,NaN,NaN,63400
32,9,6.2,The Simpsons,NaN,NaN,53800
32,10,6.2,The Simpsons,NaN,NaN,60000
32,11,7,The Simpsons,NaN,NaN,70000
32,12,6.8,The Simpsons,NaN,NaN,57900
32,13,6.2,The Simpsons,NaN,NaN,48600
32,14,5.5,The Simpsons,NaN,NaN,45100
32,15,5.9,The Simpsons,NaN,NaN,46500
32,16,6.4,The Simpsons,NaN,NaN,43500
32,17,6.4,The Simpsons,NaN,NaN,45900
32,18,6.6,The Simpsons,NaN,NaN,41300
32,19,6.1,The Simpsons,NaN,NaN,53000
32,20,6.7,The Simpsons,NaN,NaN,38800
32,21,6.2,The Simpsons,NaN,NaN,35400
32,22,7.4,The Simpsons,NaN,NaN,44200
33,1,4.3,The Simpsons,NA,NA,NA
33,2,7,The Simpsons,NA,NA,NA
33,3,6.7,The Simpsons,NA,NA,NA
33,4,6.8,The Simpsons,NA,NA,NA
33,5,6.8,The Simpsons,NA,NA,NA
33,6,8.2,The Simpsons,NA,NA,NA
33,7,8.2,The Simpsons,NA,NA,NA
33,8,6,The Simpsons,NA,NA,NA
33,9,6.3,The Simpsons,NA,NA,NA
33,10,6.9,The Simpsons,NA,NA,NA
33,11,5.8,The Simpsons,NA,NA,NA
33,12,7.6,The Simpsons,NA,NA,NA
33,13,6.6,The Simpsons,NA,NA,NA
33,14,6.3,The Simpsons,NA,NA,NA
33,15,6.4,The Simpsons,NA,NA,NA
33,16,6.2,The Simpsons,NA,NA,NA
33,17,5.8,The Simpsons,NA,NA,NA
33,18,6.5,The Simpsons,NA,NA,NA
33,19,6.6,The Simpsons,NA,NA,NA
33,20,6.7,The Simpsons,NA,NA,NA
33,21,5.8,The Simpsons,NA,NA,NA
33,22,5.6,The Simpsons,NA,NA,NA
1,1,7.7,The Office,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,1.12e+08
1,2,8.1,The Office,Ken Kwapis,B. J. Novak,6e+06
1,3,8.1,The Office,Ken Whittingham,Paul Lieberstein,5.8e+07
1,4,8.8,The Office,Bryan Gordon,Michael Schur,5.4e+07
1,5,7.9,The Office,Greg Daniels,Greg Daniels,5e+06
1,6,8.2,The Office,Amy Heckerling,Mindy Kaling,4.8e+07
2,1,8.2,The Office,Greg Daniels,Mindy Kaling,9e+06
2,2,8.2,The Office,Ken Kwapis,B. J. Novak,7.13e+08
2,3,8.4,The Office,Paul Feig,Michael Schur,8.3e+07
2,4,8.4,The Office,Ken Kwapis,B. J. Novak,7.6e+07
2,5,8.7,The Office,Paul Feig,Greg Daniels,8e+06
2,6,8.7,The Office,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,7.9e+07
3,1,8.5,The Office,Ken Kwapis,Greg Daniels,9.11e+08
3,2,9.4,The Office,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,7.78e+08
